Administer drug screening tests.,1,9
Slaughter animals.,1,9
Measure radiation levels.,1,9
Inspect timing devices.,1,9
Handle caskets.,1,9
Analyze laboratory findings.,1,9
Participate in athletic events.,1,9
Position animal trapping or capture equipment.,1,9
Provide care for animals.,1,9
Teach online courses.,1,9
Cut glass.,1,9
Sew materials.,1,9
Check physical condition of people or animals.,1,9
Direct operations of correctional facilities.,2,8
Direct funeral or mortuary activities.,2,8
Choreograph dances.,2,8
Direct criminal investigations.,2,8
Monitor biofuel production operations.,2,8
"Cultivate micro-organisms for study, testing, or medical preparations.",2,8
Assemble tires.,2,8
Guard facilities.,2,8
Inspect installed components or assemblies.,2,8
Make decisions in legal cases.,2,8
Perform dances.,2,8
Operate natural gas distribution equipment.,2,8
Operate gaming equipment.,2,8
Teach physical education.,3,7
Prepare activity or work schedules.,3,7
Conduct anthropological or archaeological research.,3,7
Determine construction project layouts.,3,7
Compute gaming wins and losses.,3,7
Distribute supplies to workers.,3,7
Time vehicle speed or traffic-control equipment operation.,3,7
Issue warnings or citations.,3,7
Perform forest firefighting activities.,3,7
"Escort prisoners to courtrooms, prisons, or other facilities.",3,7
Develop program goals or plans.,3,7
Operate textile cutting or production equipment.,3,7
Research livestock management methods.,3,7
Operate audio-visual equipment.,3,7
Analyze forensic evidence to solve crimes.,3,7
Guide patrons on tours.,3,7
Locate suspicious objects or vehicles.,4,6
Identify actions needed to bring properties or facilities into compliance with regulations.,4,6
Control equipment that regulates vehicle traffic.,4,6
Modify treatment plans to accommodate client needs.,4,6
Inspect facilities for cleanliness.,4,6
Reshape small metal components for precision assembly.,4,6
Resolve interpersonal conflicts.,4,6
Conduct gaming transactions.,4,6
Resolve personnel problems.,4,6
Authorize payments to settle legal disputes.,4,6
Monitor traffic signals.,4,6
Prepare written decisions for legal proceedings.,4,6
Operate locomotives or other rail vehicles.,4,6
Support the professional development of others.,4,6
"Examine mouth, teeth, gums, or related facial structures.",4,6
Develop biological research methods.,4,6
Develop healthcare quality and safety procedures.,4,6
Diagnose dental conditions.,4,6
Assemble electrical or electronic equipment.,4,6
Make patient-assistive devices or device models.,4,6
Supervise technical medical personnel.,4,6
Adjust dental devices or appliances to ensure fit.,4,6
Teach social science courses at the college level.,4,6
Assemble wood products.,4,6
Accompany patients or clients on outings to provide assistance.,5,5
Communicate safety or hazard information to others.,5,5
Research product safety.,5,5
Record information from legal proceedings.,5,5
Inspect cargo to identify potential hazards.,5,5
Process animal carcasses.,5,5
"Advise athletes, coaches, or trainers on exercise regimens, nutrition, or equipment use.",5,5
Prepare film for distribution or use.,5,5
Establish treatment goals.,5,5
Implement design or process improvements.,5,5
Issue permits or other legal documents.,5,5
Assist patrons with entering or exiting vehicles or other forms of transportation.,5,5
Conduct historical research.,5,5
Read to students.,5,5
Administer oaths to court participants.,5,5
Respond to transportation emergencies.,5,5
Rule on admissibility of legal proceedings.,5,5
"Inform the public about policies, services or procedures.",5,5
Advise others on educational matters.,6,4
Direct employee training programs.,6,4
Investigate accidents to determine causes.,6,4
Issue certificates or licenses.,6,4
Direct law enforcement activities.,6,4
Inspect medical or dental assistive devices.,6,4
Draw guide lines or markings on materials or workpieces using patterns or other references.,6,4
Apply makeup to alter or enhance appearance.,6,4
Install drilling equipment.,6,4
Monitor operations to ensure compliance with safety or security policies or regulations.,6,4
Inspect locomotives or other railroad equipment.,6,4
Encourage patients during therapeutic activities.,6,4
Encourage patients or clients to develop life skills.,6,4
Update knowledge of legal or regulatory environments.,6,4
Maintain social services program records.,6,4
"Estimate supplies, ingredients, or staff requirements for food preparation activities.",6,4
Examine personal documentation to ensure that it is valid.,6,4
Operate mining equipment.,6,4
"Fit eyeglasses, contact lenses, or other vision aids.",6,4
Measure distances or dimensions.,6,4
"Discuss performance, complaints, or violations with supervisors.",6,4
Teach humanities courses at the college level.,6,4
Develop fire safety or prevention programs or plans.,6,4
Create physical models or prototypes.,6,4
Coordinate project activities with other personnel or departments.,6,4
Cut meat products.,6,4
Assist motorists or pedestrians.,6,4
Write informational material.,6,4
Teach basic living or other adaptive skills to patients or caregivers.,6,4
Assign resources or facilities to patrons or employees.,6,4
Recommend personnel decisions or human resources activities.,6,4
Teach physical science or mathematics courses at the college level.,6,4
Supervise sales or support personnel.,6,4
Collaborate with law enforcement or security agencies to share information.,6,4
Shape glass or similar materials.,6,4
Promote agricultural or hunting activities.,6,4
Process customer bills or payments.,6,4
Solder parts or workpieces.,7,3
Authorize construction activities.,7,3
"Adjust equipment controls to regulate flow of water, cleaning solutions, or other liquids.",7,3
Apply multiple teaching methods.,7,3
Arbitrate disputes between parties to resolve legal conflicts.,7,3
Assess characteristics of fires.,7,3
Apply decorative coloring to photographs or printed materials.,7,3
Apply identification labels or tags.,7,3
Train medical providers.,7,3
Stay informed about current developments in field of specialization.,7,3
Analyze crime scene evidence.,7,3
Analyze financial records to improve budgeting or planning.,7,3
Assess product or process usefulness.,7,3
Train others on work processes.,7,3
Teach vocational courses.,7,3
Adjust tuning or functioning of musical instruments.,7,3
Build agricultural structures.,7,3
Develop detailed project plans.,7,3
Develop technical specifications for systems or equipment.,7,3
Patrol natural areas to ensure safety or enforce regulations.,7,3
"Drill holes in parts, equipment, or materials.",7,3
Read work orders to determine material or setup requirements.,7,3
Enter information into databases or software programs.,7,3
Design energy production or management equipment or systems.,7,3
Plan work operations.,7,3
"Plan conferences, programs, or special events.",7,3
Plan community programs or activities for the general public.,7,3
Record information about suspicious objects.,7,3
Develop database parameters or specifications.,7,3
Manage outreach activities.,7,3
Record operational or production data.,7,3
Record patient medical histories.,7,3
Maintain records of sales or other business transactions.,7,3
Fabricate devices or components.,7,3
Develop sustainable organizational policies or practices.,7,3
Operate laboratory or field equipment.,7,3
Develop computer or information systems.,7,3
Maintain vehicles in good working condition.,7,3
Cultivate land.,7,3
Develop instructional materials.,7,3
Develop scientific or mathematical models.,7,3
Develop promotional strategies for religious organizations.,7,3
Prepare land for agricultural use.,7,3
Shovel materials.,7,3
Develop organizational policies or programs.,7,3
Discuss problems or issues with supervisors.,7,3
Develop instructional objectives.,7,3
Prepare graphics or other visual representations of information.,7,3
Provide information about landscaping services or costs.,7,3
Prepare financial documents.,7,3
Manage organizational or program finances.,7,3
Prepare data for analysis.,7,3
Develop equipment or component configurations.,7,3
Drill holes in earth or rock.,7,3
Prepare business correspondence.,7,3
Provide for basic needs of children.,7,3
Gather customer or product information to determine customer needs.,7,3
Cut materials according to specifications or needs.,7,3
Maintain professional knowledge or certifications.,7,3
Inspect completed work to ensure proper functioning.,7,3
